gene1,gene2,statistic,pvalue
LPCAT2,RASAL3,0.8899645764889836,4.597412279984853e-05
LPCAT2,RNASE6,0.8587756235514418,0.000170408283492
LPCAT2,SAMSN1,0.8938981565175129,3.7927503500290985e-05
LPCAT2,SCN7A,0.8572008776244604,0.0001805513897924
LPCAT2,SELPLG,0.8712262400419597,0.0001051709763181
LPCAT2,SMIM35,0.897215463969554,3.205816650623529e-05
LPCAT2,SUSD3,0.9139919342589689,1.2436440630738937e-05
LPCAT2,SYK,0.9364947525692324,2.450991826843516e-06
LPCAT2,TBXAS1,0.9304063578110546,4.007327963988869e-06
LPCAT2,TLR1,0.8623530165307906,0.0001490492105302
LPCAT2,TLR6,0.8974038137182596,3.1748245554922805e-05
LPCAT2,TMEM119,0.9122348434932808,1.385157595709322e-05
LPCAT2,TREM2,0.9423434768191336,1.4571596523842903e-06
LPCAT2,WDFY4,0.927906049521243,4.842174104921093e-06
LRRC63,LURAP1L-AS1,0.9428309710573036,1.3919939820988125e-06
LRRC63,NIPAL4,0.8704057618264511,0.0001087308550581
LRRC63,PLD1,0.8828239823696281,6.405067536122502e-05
LRRC63,SH3TC2-DT,0.8571972432889917,0.0001805753426533
LRRC63,SLC45A3,0.8530719259070447,0.0002094457963918
LRRC63,TMEM125,0.8566088007648808,0.0001844871374499
LRRC63,TMEM235,0.8509102211220173,0.0002259766469544
LRRC63,TMT1B,0.8765822405052736,8.415435259389753e-05
LRRC63,TRIM59,0.8557584588581584,0.0001902589582187
LSP1,PDYN,0.9115995051259506,1.439410017715704e-05
LSP1,TAC1,0.8547467417483132,0.0001973125778493
LSP1,TMEM272,0.8758609100704664,8.67701416660291e-05
LST1,LY86,0.8911000753977215,4.352276077791186e-05
LST1,MPEG1,0.8839998621830724,6.073658368785752e-05
LST1,NCKAP1L,0.9395159537029928,1.8857010519894464e-06
LST1,NSUN7,0.8711976409746942,0.0001052934731983
LST1,P2RY13,0.8668540148418457,0.0001252688400236
LST1,PLD4,0.8765000101386565,8.444931975891127e-05
LST1,PTAFR,0.8567407351193693,0.0001836042591733
LST1,RASAL3,0.9539877601387036,4.309914998369701e-07
LST1,RNASE6,0.9086723658338148,1.7119409673017332e-05
LST1,SAMSN1,0.908385087698522,1.7407819462825584e-05
LST1,SELPLG,0.8740362565289923,9.367828590704476e-05
LST1,SUSD3,0.885835710327684,5.583845160619488e-05
LST1,SYK,0.9125896098048404,1.35558846649145e-05
LST1,TBXAS1,0.8946387745269124,3.654777664195618e-05
LST1,TLR1,0.8794047122197698,7.451863852048243e-05
LST1,TLR6,0.935401144953722,2.6865712740801103e-06
LST1,TMEM119,0.8766220310195305,8.401191703061385e-05
LST1,TNFAIP8L2,0.9221756196314752,7.292122239198371e-06
LST1,TREM2,0.94603314458866,1.0201350888792933e-06
LST1,WDFY4,0.9744032635420948,1.7815478449840932e-08
LTF,PRPH,0.861196360880898,0.00015570678482
LTF,RPE65,0.8503664980644022,0.0002302936580279
LTF,SAMSN1,0.9033093226218016,2.318414199329869e-05
